"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3597","Получение заказов авторизованного пользователя","tests","Wed Apr 23 20:43:47 YEKT 2025","passed","Wed Apr 23 20:43:51 YEKT 2025","TestGetUserOrders","test_get_user_orders","",""
"","149","Проверка невозможности создания пользователя с пропущенным обязательным полем","tests","Wed Apr 23 20:43:46 YEKT 2025","passed","Wed Apr 23 20:43:46 YEKT 2025","TestCreateUser","test_create_user","",""
"","154","Проверка создания заказа без авторизации","tests","Wed Apr 23 20:43:43 YEKT 2025","passed","Wed Apr 23 20:43:43 YEKT 2025","TestCreateOrder","test_create_order","",""
"","479","Проверка изменения данных авторизованного пользователя","tests","Wed Apr 23 20:43:56 YEKT 2025","passed","Wed Apr 23 20:43:56 YEKT 2025","TestUpdateUserData","test_update_user_data","",""
"","258","Проверка невозможности авторизации с неверными данными","tests","Wed Apr 23 20:43:54 YEKT 2025","passed","Wed Apr 23 20:43:54 YEKT 2025","TestLoginUser","test_login","",""
"","481","Проверка изменения данных авторизованного пользователя","tests","Wed Apr 23 20:43:54 YEKT 2025","passed","Wed Apr 23 20:43:55 YEKT 2025","TestUpdateUserData","test_update_user_data","",""
"","155","Проверка невозможности изменения данных без авторизации","tests","Wed Apr 23 20:43:57 YEKT 2025","passed","Wed Apr 23 20:43:57 YEKT 2025","TestUpdateUserData","test_update_user_data","",""
"","149","Проверка невозможности получения заказов без авторизации","tests","Wed Apr 23 20:43:51 YEKT 2025","passed","Wed Apr 23 20:43:52 YEKT 2025","TestGetUserOrders","test_get_user_orders","",""
"","156","Проверка невозможности изменения данных без авторизации","tests","Wed Apr 23 20:43:57 YEKT 2025","passed","Wed Apr 23 20:43:57 YEKT 2025","TestUpdateUserData","test_update_user_data","",""
"","150","Проверка невозможности создания пользователя с пропущенным обязательным полем","tests","Wed Apr 23 20:43:46 YEKT 2025","passed","Wed Apr 23 20:43:46 YEKT 2025","TestCreateUser","test_create_user","",""
"","160","Проверка невозможности авторизации с неверными данными","tests","Wed Apr 23 20:43:53 YEKT 2025","passed","Wed Apr 23 20:43:54 YEKT 2025","TestLoginUser","test_login","",""
"","154","Проверка невозможности создания пользователя с существующим email","tests","Wed Apr 23 20:43:46 YEKT 2025","passed","Wed Apr 23 20:43:46 YEKT 2025","TestCreateUser","test_create_user","",""
"","1","Проверка успешного создания нового пользователя","tests","Wed Apr 23 20:43:46 YEKT 2025","passed","Wed Apr 23 20:43:46 YEKT 2025","TestCreateUser","test_create_user","",""
"","150","Проверка невозможности создания пользователя с пропущенным обязательным полем","tests","Wed Apr 23 20:43:46 YEKT 2025","passed","Wed Apr 23 20:43:47 YEKT 2025","TestCreateUser","test_create_user","",""
"","149","Создание заказа с неверным хешем ингредиентов","tests","Wed Apr 23 20:43:45 YEKT 2025","passed","Wed Apr 23 20:43:45 YEKT 2025","TestCreateOrder","test_create_order","",""
"","167","Проверка невозможности обновления email на уже существующий","tests","Wed Apr 23 20:43:58 YEKT 2025","passed","Wed Apr 23 20:43:58 YEKT 2025","TestUpdateUserData","test_update_user_data","",""
"","228","Проверка успешной авторизации пользователя","tests","Wed Apr 23 20:43:52 YEKT 2025","passed","Wed Apr 23 20:43:52 YEKT 2025","TestLoginUser","test_login","",""
"","157","Проверка невозможности изменения данных без авторизации","tests","Wed Apr 23 20:43:57 YEKT 2025","passed","Wed Apr 23 20:43:58 YEKT 2025","TestUpdateUserData","test_update_user_data","",""
"","237","Проверка невозможности авторизации с неверными данными","tests","Wed Apr 23 20:43:53 YEKT 2025","passed","Wed Apr 23 20:43:53 YEKT 2025","TestLoginUser","test_login","",""
"","2753","Проверка создания заказа авторизованным пользователем с ингредиентами","tests","Wed Apr 23 20:43:39 YEKT 2025","passed","Wed Apr 23 20:43:42 YEKT 2025","TestCreateOrder","test_create_order","",""
"","157","Проверка невозможности авторизации с неверными данными","tests","Wed Apr 23 20:43:53 YEKT 2025","passed","Wed Apr 23 20:43:53 YEKT 2025","TestLoginUser","test_login","",""
"","150","Проверка создания заказа с пустым списком ингредиентов","tests","Wed Apr 23 20:43:43 YEKT 2025","passed","Wed Apr 23 20:43:43 YEKT 2025","TestCreateOrder","test_create_order","",""
